,link,datetime
0,https://www.thenews.com.pk/latest/594021-bjps-student-wing-allegedly-attack-university-students-and-teachers,"January 5, 2020"
1,https://www.thenews.com.pk/print/727114-man-held-for-throwing-girl-out-of-vehicle,"October 10, 2020"
2,https://www.thenews.com.pk/print/474619-online-blackmail,"May 22, 2019"
3,https://www.thenews.com.pk/print/81490-Let-Girls-go-to-School-event-held,"December 13, 2015"
4,https://www.thenews.com.pk/print/139981-Draft-bill-against-honour-killings-prepared,"August 4, 2016"
5,https://www.thenews.com.pk/print/436147-lahore-literary-festival-gender-issues-honour-killings-highlighted,"February 24, 2019"
6,https://www.thenews.com.pk/print/300651-report-on-child-sexual-abuse-launched-3-445-children-abused-in-pakistan-last-year,"April 5, 2018"
7,https://www.thenews.com.pk/print/575271-formation-of-parliamentary-committee-against-forced-conversions-lauded,"November 28, 2019"
8,https://www.thenews.com.pk/print/370968-reforms-and-the-police-force,"September 20, 2018"
9,https://www.thenews.com.pk/print/629448-kp-police-set-up-wing-to-research-child-abuse-heinous-crimes,"March 15, 2020"
10,https://www.thenews.com.pk/latest/422611-have-been-running-pillar-to-post-but-to-no-avail-maryam-on-nawaz-sharifs-health,"January 23, 2019"
11,https://www.thenews.com.pk/latest/600602-shc-suspends-judicial-magistrate-for-allegedly-raping-woman-in-his-chambers,"January 18, 2020"
12,https://www.thenews.com.pk/print/656578-boy-assaulted,"May 10, 2020"
13,https://www.thenews.com.pk/print/695075-aug-4-to-be-marked-as-police-shuhada-day,"August 1, 2020"
14,https://www.thenews.com.pk/print/739355-motorway-gang-rape-accused-confesses-to-crime,"November 5, 2020"
15,https://www.thenews.com.pk/print/420830-india-court-orders-security-for-women-who-entered-flashpoint-temple,"January 19, 2019"
16,https://www.thenews.com.pk/archive/print/513076-two-killed-in-charsadda-incidents,"July 8, 2014"
17,https://www.thenews.com.pk/print/740821-man-kills-sister-for-honour,"November 8, 2020"
18,https://www.thenews.com.pk/print/738928-man-shoots-wife-alleged-paramour-dead,"November 4, 2020"
19,https://www.thenews.com.pk/print/738933-bd-high-court-questions-ban-on-marital-rape-prosecutions,"November 4, 2020"
20,https://www.thenews.com.pk/latest/719421-kangana-ranaut-brings-back-old-video-of-anurag-kashyap-confessing-of-child-abuse,"September 24, 2020"
21,https://www.thenews.com.pk/print/752508-sc-acquits-accused-of-rape-murder-of-widow,"December 2, 2020"
22,https://www.thenews.com.pk/print/85051-Honour-killing-cases-to-be-heard-in-anti-terrorism-court-minister,"December 30, 2015"
23,https://www.thenews.com.pk/print/361889-increase-in-child-abuse-cases-reported-in-first-six-months-of-2018,"August 31, 2018"
24,https://www.thenews.com.pk/print/719319-son-of-late-parliamentarian-among-clifton-gang-rape-suspects,"September 24, 2020"
25,https://www.thenews.com.pk/print/108937-In-the-name-of-honour,"March 30, 2016"
26,https://www.thenews.com.pk/archive/print/275368-shc-reserves-order-on-petitions-against-bank-harassment,"December 19, 2010"
27,https://www.thenews.com.pk/print/683111-five-year-old-boy-becomes-year-s-first-polio-victim-in-karachi,"July 7, 2020"
28,https://www.thenews.com.pk/print/735837-minor-girl-abducted-in-surjani-town,"October 28, 2020"
29,https://www.thenews.com.pk/latest/737029-teenager-allegedly-subjects-five-year-old-girl-to-sexual-assault-in-india,"October 30, 2020"
30,https://www.thenews.com.pk/latest/698336-locals-shave-head-blacken-face-of-man-who-allegedly-travelled-to-meet-woman-in-chunian,"August 9, 2020"
31,https://www.thenews.com.pk/print/155795-Honour-Killing-Bill-in-conflict-with-Quran-Sunnah-says-Siraj,"October 8, 2016"
32,https://www.thenews.com.pk/print/717719-putting-an-end-to-rape,"September 21, 2020"
33,https://www.thenews.com.pk/print/93238-Court-declares-16-year-old-converted-girls-marriage-valid,"January 24, 2016"
34,https://www.thenews.com.pk/latest/685751-world-leaders-unite-at-uks-remembering-srebrenica-memorial-day,"July 13, 2020"
35,https://www.thenews.com.pk/print/750241-rape-laws,"November 28, 2020"
36,https://www.thenews.com.pk/print/737238-forced-marriage,"November 1, 2020"
