link,datetime,title,text,authors,summary,keywords,images,has_top_image,top_image,successfully_scraped,is_valid_url,meta_lang,meta_data,media_links,search_term
https://www.thetimes.co.uk/article/vienna-terror-attack-europe-will-not-give-in-to-its-enemies-says-defiant-macron-p32cvz6t3,,"Vienna terror attack: Europe will not give in to its enemies, says defiant Macron","President Macron has had to contend with three Islamist terrorist attacks in France in the past six weeks

President Macron was swift to deliver a message of support to Austria and defiance in the face of terrorism last night.

Mr Macron telephoned Sebastian Kurz, the Austrian chancellor, to “express his total solidarity and support and to offer the help of France if necessary,” the Élysée Palace said.

Sponsored

The French president’s words had particular resonance after three terrorist attacks in France in the past six weeks, all carried out by Islamists. France is seeking to rally the EU around its uncompromising line on Islamist terrorism.

On Twitter, Mr Macron said: “After France, it is a country with whom we are friends that is attacked. This is our Europe. Our enemies must know who they are dealing with. We will not give up.” He made","['Adam Sage', 'Charles Bremner']","President Macron has had to contend with three Islamist terrorist attacks in France in the past six weeksPresident Macron was swift to deliver a message of support to Austria and defiance in the face of terrorism last night.
Mr Macron telephoned Sebastian Kurz, the Austrian chancellor, to “express his total solidarity and support and to offer the help of France if necessary,” the Élysée Palace said.
SponsoredThe French president’s words had particular resonance after three terrorist attacks in France in the past six weeks, all carried out by Islamists.
France is seeking to rally the EU around its uncompromising line on Islamist terrorism.
On Twitter, Mr Macron said: “After France, it is a country with whom we are friends that is attacked.","['support', 'france', 'attacks', 'weekspresident', 'enemies', 'élysée', 'attack', 'europe', 'defiant', 'vienna', 'terrorist', 'terror', 'past', 'islamist', 'words', 'macron']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa380bfa6-1d66-11eb-a6f9-33c15bd31337.jpg?crop=5224%2C2939%2C295%2C900&resize=1180', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa380bfa6-1d66-11eb-a6f9-33c15bd31337.jpg?crop=5224%2C2939%2C295%2C900&resize=685'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa380bfa6-1d66-11eb-a6f9-33c15bd31337.jpg?crop=5224%2C2939%2C295%2C900&resize=685,1,,,,,['honor killing']
https://www.thetimes.co.uk/article/letters-to-the-editor-dump-the-ignoble-nobles-and-ban-the-tarnished-gongs-rdwmm60q5,,Letters to the Editor: dump the ignoble nobles and ban the tarnished gongs,"Unlike your leader writer (Editorial, last week), I am delighted to see the

appalling Peter Cruddas “elevated” to the House of Lords. I also hope Boris Johnson ennobles still more IRA and KGB acolytes, the rest of his family and the entire chumocracy.

Those beacons of entrepreneurial excellence, Sir Philip and Lady Green, deserve a peerage apiece; and by looking further afield — Lord Putin of St Petersburg, perhaps, and some ermine-clad Chinese kleptocrats — we would show the world that post-Brexit Britain is truly open for business.

Sponsored

Much more of this, and we might even get an elected second chamber, like every other democracy. Go on, Boris, you can do it.

Rosemary Sealey, Canterbury

The ennoblement of Peter Cruddas delighted at least one Sunday Times reader REX/SHUTTERSTOCK

Chopping block

I do not know where to",['Letters Sunday-Times.Co.Uk'],"Unlike your leader writer (Editorial, last week), I am delighted to see theappalling Peter Cruddas “elevated” to the House of Lords.
I also hope Boris Johnson ennobles still more IRA and KGB acolytes, the rest of his family and the entire chumocracy.
SponsoredMuch more of this, and we might even get an elected second chamber, like every other democracy.
Go on, Boris, you can do it.
Rosemary Sealey, CanterburyThe ennoblement of Peter Cruddas delighted at least one Sunday Times reader REX/SHUTTERSTOCKChopping blockI do not know where to","['gongs', 'ban', 'world', 'writer', 'week', 'truly', 'editor', 'times', 'tarnished', 'unlike', 'nobles', 'dump', 'boris', 'cruddas', 'peter', 'ignoble', 'delighted', 'letters']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2Ff4821dbe-4cfa-11eb-85f4-073f76dca568.jpg?crop=2194%2C1234%2C274%2C255&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F9bea9414-4cfb-11eb-85f4-073f76dca568.jpg?crop=1000%2C1000%2C0%2C0', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F17af5a0e-4cfb-11eb-85f4-073f76dca568.jpg?crop=1679%2C1119%2C278%2C340&resize=400&quality=3'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2Ff4821dbe-4cfa-11eb-85f4-073f76dca568.jpg?crop=2194%2C1234%2C274%2C255&resize=685,1,,,,,['honor killing']
https://www.thetimes.co.uk/article/boris-johnson-backtracks-on-prosecuting-tech-bosses-who-fail-children-6kh53wj39,,Boris Johnson backtracks on prosecuting tech bosses who fail children,"Molly Russell, 14, killed herself in 2017 after viewing self-harm images on social media. Her father, Ian Russell, said that without the threat of criminal liability the new regulatory regime would be “half-hearted”

Boris Johnson has been accused of diluting plans for laws that would leave social media executives facing prosecution for failing to protect children.

The government is due to publish its response to a consultation on a proposal to regulate tech giants within the next fortnight.

Sponsored

Ministers will introduce a statutory duty of care, which will be enforced by Ofcom, the broadcasting regulator. Companies that breach the duty could face multimillion-pound fines or be blocked from operating in Britain.

However, a plan for “senior management liability”, under which executives could be prosecuted for failing to protect users, will apply only to illegal material such as child abuse and terrorism.

Companies that host “legal but harmful” material such as self-harm videos, or which allow cyberbullying, will not","['Steven Swinford', 'Deputy Political Editor']","Molly Russell, 14, killed herself in 2017 after viewing self-harm images on social media.
Her father, Ian Russell, said that without the threat of criminal liability the new regulatory regime would be “half-hearted”Boris Johnson has been accused of diluting plans for laws that would leave social media executives facing prosecution for failing to protect children.
The government is due to publish its response to a consultation on a proposal to regulate tech giants within the next fortnight.
SponsoredMinisters will introduce a statutory duty of care, which will be enforced by Ofcom, the broadcasting regulator.
Companies that host “legal but harmful” material such as self-harm videos, or which allow cyberbullying, will not","['johnson', 'liability', 'media', 'selfharm', 'prosecuting', 'children', 'protect', 'failing', 'backtracks', 'executives', 'fail', 'material', 'tech', 'bosses', 'boris', 'russell', 'duty', 'social']","{'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F2d796fae-3677-11eb-b015-3b650b0f0101.jpg?crop=1200%2C675%2C0%2C63&resize=1180', 'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F2d796fae-3677-11eb-b015-3b650b0f0101.jpg?crop=1200%2C675%2C0%2C63&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F2d796fae-3677-11eb-b015-3b650b0f0101.jpg?crop=1200%2C675%2C0%2C63&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/ministers-are-right-to-take-control-of-abortion-in-northern-ireland-tbtftmfmk,,Ministers are right to take control of abortion in Northern Ireland,"It is shameful that in 2021 women and girls in Northern Ireland are still being denied the same rights to abortion as women and girls across the rest of the United Kingdom. Quality healthcare is a basic human right.

I respect that this is a matter of conscience for many. I have defended the right of those in parliament who passionately disagree with me to not be shouted down. However, the law changed in Northern Ireland a year ago and it is unfathomable that we would stand by and allow it to be ignored. Women and girls in Northern Ireland must not be treated as second-class citizens.

Sponsored

That is why I was pleased that yesterday the government took a further step to ensure women and",['Huw Merriman'],"It is shameful that in 2021 women and girls in Northern Ireland are still being denied the same rights to abortion as women and girls across the rest of the United Kingdom.
I have defended the right of those in parliament who passionately disagree with me to not be shouted down.
However, the law changed in Northern Ireland a year ago and it is unfathomable that we would stand by and allow it to be ignored.
Women and girls in Northern Ireland must not be treated as second-class citizens.
SponsoredThat is why I was pleased that yesterday the government took a further step to ensure women and","['control', 'unfathomable', 'right', 'step', 'united', 'took', 'abortion', 'treated', 'ireland', 'girls', 'ministers', 'women', 'yesterday', 'northern']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F9d894ff2-8c13-11eb-a1a3-928d43a3bbc1.jpg?crop=1340%2C754%2C146%2C137&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Faa78d76e-8c13-11eb-a1a3-928d43a3bbc1.png?crop=300%2C300%2C0%2C0', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F9d894ff2-8c13-11eb-a1a3-928d43a3bbc1.jpg?crop=1340%2C754%2C146%2C137&resize=685,1,forced abortion,,,,[nan]
https://www.thetimes.co.uk/article/raf-lossiemouth-serviceman-asked-woman-to-film-herself-as-she-sat-on-babies-wbbw3gxfn,,RAF Lossiemouth serviceman asked woman to film herself as she sat on babies,"Dundee sheriff court was told the videos showed children extremely distressed and trying to escape from underneath her

An RAF serviceman posed as a stuntman and film-maker to persuade a woman to video herself sitting on babies for his sexual gratification.

Andrew Kerr, 35, told the woman he met on Facebook that she would be paid more for the most bizarre and cruel videos. She sent him seven videos.

Sponsored

Kerr tried to incite a second woman to carry out the same acts on young children and had sexual images of children on devices at RAF bases.

Eilidh Robertson, the fiscal depute, told Dundee sheriff court that the videos showed the 16-month-old infants “extremely distressed, crying out, and attempting to escape from underneath her”. She said: “At the time [Kerr] was employed by the RAF and was discharged in November 2019 as a result",['David Mccann'],"Dundee sheriff court was told the videos showed children extremely distressed and trying to escape from underneath herAn RAF serviceman posed as a stuntman and film-maker to persuade a woman to video herself sitting on babies for his sexual gratification.
Andrew Kerr, 35, told the woman he met on Facebook that she would be paid more for the most bizarre and cruel videos.
SponsoredKerr tried to incite a second woman to carry out the same acts on young children and had sexual images of children on devices at RAF bases.
Eilidh Robertson, the fiscal depute, told Dundee sheriff court that the videos showed the 16-month-old infants “extremely distressed, crying out, and attempting to escape from underneath her”.
She said: “At the time [Kerr] was employed by the RAF and was discharged in November 2019 as a result","['raf', 'asked', 'serviceman', 'babies', 'videos', 'lossiemouth', 'children', 'sheriff', 'sexual', 'kerr', 'underneath', 'told', 'film', 'showed', 'woman']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbc06221c-c5e8-11ea-b1ec-faab6f383ba1.jpg?crop=4248%2C2389%2C0%2C221&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbc06221c-c5e8-11ea-b1ec-faab6f383ba1.jpg?crop=4248%2C2389%2C0%2C221&resize=1180', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbc06221c-c5e8-11ea-b1ec-faab6f383ba1.jpg?crop=4248%2C2389%2C0%2C221&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/a-year-in-the-life-of-the-sussexes-from-megxit-to-sharing-the-love-in-a-podcast-3phh8v2xp,,A year in the life of the Sussexes: from Megxit to sharing the love in a podcast,"After a year of global grimness, Harry and Meghan have swept into our lives to offer comfort and solace. Their new podcast features Meghan telling us that love always wins, Harry urging us to “grab a cosy beverage” and Archie uttering his first words in public. It was this time last year that the royal family first reached for the smelling salts over Harry and Meghan. They might want to keep them to hand.

“We intend to step back as ‘senior’ members of the royal family,” the Duke and Duchess of Sussex announced last January, “and work to become financially independent, while continuing to fully support Her Majesty the Queen.” They intended, they added, “to carve out a progressive new role within this",['Hilary Rose'],"After a year of global grimness, Harry and Meghan have swept into our lives to offer comfort and solace.
Their new podcast features Meghan telling us that love always wins, Harry urging us to “grab a cosy beverage” and Archie uttering his first words in public.
It was this time last year that the royal family first reached for the smelling salts over Harry and Meghan.
They might want to keep them to hand.
“We intend to step back as ‘senior’ members of the royal family,” the Duke and Duchess of Sussex announced last January, “and work to become financially independent, while continuing to fully support Her Majesty the Queen.” They intended, they added, “to carve out a progressive new role within this","['words', 'sharing', 'megxit', 'sussexes', 'royal', 'work', 'wins', 'family', 'love', 'harry', 'uttering', 'telling', 'podcast', 'urging', 'meghan', 'life']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F5ccd29c2-4a03-11eb-9dbc-44d114c9d92d.jpg?crop=5568%2C3132%2C0%2C290&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F5ccd29c2-4a03-11eb-9dbc-44d114c9d92d.jpg?crop=5568%2C3132%2C0%2C290&resize=1180'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F5ccd29c2-4a03-11eb-9dbc-44d114c9d92d.jpg?crop=5568%2C3132%2C0%2C290&resize=685,1,,,,,['forced marriage']
https://www.thetimes.co.uk/article/police-failings-left-rotherham-predator-arshid-hussain-free-to-abuse-girls-qqfmzhbjw,,Police failings left Rotherham predator Arshid Hussain free to abuse girls,"Multiple failings left a violent predator free to target, groom and sexually abuse vulnerable children in Rotherham, a report by the police watchdog has found.

South Yorkshire police knew in 2000 that Arshid Hussain had “a number of relationships with young girls in foster care”. The force took no action against him until one of his child victims, Sammy Woodhouse, told her story to The Times in 2013.

Sponsored

Her account, using the pseudonym Jessica, triggered the inquiry that exposed the town’s child exploitation scandal, finding that 1,400 girls suffered appalling abuse by groups of men who were “almost all” of Pakistani heritage.

Hussain, 45, was jailed for 35 years in 2016 for 23 offences against nine girls including Ms Woodhouse. The judge said his victims",['Andrew Norfolk'],"Multiple failings left a violent predator free to target, groom and sexually abuse vulnerable children in Rotherham, a report by the police watchdog has found.
South Yorkshire police knew in 2000 that Arshid Hussain had “a number of relationships with young girls in foster care”.
The force took no action against him until one of his child victims, Sammy Woodhouse, told her story to The Times in 2013.
SponsoredHer account, using the pseudonym Jessica, triggered the inquiry that exposed the town’s child exploitation scandal, finding that 1,400 girls suffered appalling abuse by groups of men who were “almost all” of Pakistani heritage.
Hussain, 45, was jailed for 35 years in 2016 for 23 offences against nine girls including Ms Woodhouse.","['hussain', 'young', 'left', 'rotherham', 'victims', 'arshid', 'watchdog', 'failings', 'abuse', 'child', 'woodhouse', 'predator', 'girls', 'vulnerable', 'free', 'violent', 'yorkshire']","{'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fc8d64bd4-238a-11eb-bb49-9a393f31c7ae.jpg?crop=2345%2C1319%2C0%2C364&resize=1180', 'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fc8d64bd4-238a-11eb-bb49-9a393f31c7ae.jpg?crop=2345%2C1319%2C0%2C364&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fc8d64bd4-238a-11eb-bb49-9a393f31c7ae.jpg?crop=2345%2C1319%2C0%2C364&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/it-was-quite-good-to-see-a-referee-stand-up-for-himself-for-a-change-d2wvmczbv,,It was quite good to see a referee stand up for himself for a change,"Last month Darren Drysdale finally snapped. The referee locked heads with Alan Judge after suffering abuse from the Ipswich Town midfielder that Drysdale described as “the worst he had experienced” at a disciplinary hearing last week. The language in the rest of his statement is too strong to write here, so I’ll substitute the swear words for innocent ones, like my grandma would.

Drysdale said his act of aggression came after he blew his whistle and Judge charged towards him screaming: “It’s a ducking penalty you cheating bald currant.” He did well not to headbutt him, like my grandma would.

Sponsored

It’s a wonder this doesn’t happen more often given what referees have to put up with. As a child, all your friends make fun of",['George Lewis'],"Last month Darren Drysdale finally snapped.
The referee locked heads with Alan Judge after suffering abuse from the Ipswich Town midfielder that Drysdale described as “the worst he had experienced” at a disciplinary hearing last week.
The language in the rest of his statement is too strong to write here, so I’ll substitute the swear words for innocent ones, like my grandma would.
SponsoredIt’s a wonder this doesn’t happen more often given what referees have to put up with.
As a child, all your friends make fun of","['whistle', 'words', 'quite', 'drysdale', 'write', 'judge', 'grandma', 'wonder', 'good', 'woulddrysdale', 'referee', 'worst', 'stand', 'wouldsponsoredits', 'change']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F3dd8d06a-84f6-11eb-9186-403d3ffc3950.jpg?crop=842%2C842%2C647%2C164', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff07f7ce2-84f5-11eb-9186-403d3ffc3950.jpg?crop=3500%2C1969%2C0%2C0&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff07f7ce2-84f5-11eb-9186-403d3ffc3950.jpg?crop=3500%2C1969%2C0%2C0&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/rape-and-a-drugs-death-as-6-000-go-to-illegal-parties-pm7rchd2t,,"Rape and a drugs death as 6,000 go to illegal parties","A 20-year-old man died of a suspected drug overdose, a woman was raped and three people were stabbed during two illegal raves that attracted more than 6,000 people in Greater Manchester.

The 20-year-old man, who is thought to have died of a drug overdose, had attended a gathering of about 4,000 people at Daisy Nook Country Park in Droylsden, Greater Manchester police said. There were no further reported criminal incidents.

Sponsored

At the other rave, in Carrington, an 18-year-old woman was raped and men aged 18, 25 and 26 were hurt in separate stabbings. A 25-year-old man was arrested on suspicion of possessing an offensive weapon.

The 18-year-old stabbing victim had life-threatening injuries, but officers “managed to safely enter the crowds, locate the man and administer",['Will Humphries'],"A 20-year-old man died of a suspected drug overdose, a woman was raped and three people were stabbed during two illegal raves that attracted more than 6,000 people in Greater Manchester.
The 20-year-old man, who is thought to have died of a drug overdose, had attended a gathering of about 4,000 people at Daisy Nook Country Park in Droylsden, Greater Manchester police said.
SponsoredAt the other rave, in Carrington, an 18-year-old woman was raped and men aged 18, 25 and 26 were hurt in separate stabbings.
A 25-year-old man was arrested on suspicion of possessing an offensive weapon.
The 18-year-old stabbing victim had life-threatening injuries, but officers “managed to safely enter the crowds, locate the man and administer","['weaponthe', 'rape', 'greater', 'parties', '6000', '18yearold', 'death', 'overdose', 'drugs', 'raped', 'man', 'illegal', '20yearold', 'woman', 'drug', 'died']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F1180ff08-ae67-11ea-86d3-bc5eef90654f.jpg?crop=603%2C339%2C5%2C89&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F1180ff08-ae67-11ea-86d3-bc5eef90654f.jpg?crop=603%2C339%2C5%2C89&resize=1180', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F1180ff08-ae67-11ea-86d3-bc5eef90654f.jpg?crop=603%2C339%2C5%2C89&resize=685,1,,,,,['rape']
https://www.thetimes.co.uk/article/psychotherapist-philippa-perry-on-lockdown-love-and-her-marriage-to-grayson-ffq0pn88r,,"Psychotherapist Philippa Perry on lockdown, love and her marriage to Grayson","I was supposed to meet Philippa Perry at her house in Islington, but by a stroke of luck I got ill, so we had to reschedule for a date when she’d be at her cottage on the South Downs. By the time I reach her door at the end of a winding country track dotted with sheep and cattle grids, nestled in rolling hills, the relocation feels so serendipitous I half wonder if my subconscious might have engineered the illness just to bring me to this idyll.

It’s a ridiculous thought of course, but in the company of a celebrated psychotherapist you can’t help but start thinking about how the mind works. While I’m taking off my coat Perry is already talking about countertransference. The",['Decca Aitkenhead'],"I was supposed to meet Philippa Perry at her house in Islington, but by a stroke of luck I got ill, so we had to reschedule for a date when she’d be at her cottage on the South Downs.
By the time I reach her door at the end of a winding country track dotted with sheep and cattle grids, nestled in rolling hills, the relocation feels so serendipitous I half wonder if my subconscious might have engineered the illness just to bring me to this idyll.
It’s a ridiculous thought of course, but in the company of a celebrated psychotherapist you can’t help but start thinking about how the mind works.
While I’m taking off my coat Perry is already talking about countertransference.","['lockdown', 'thinking', 'works', 'taking', 'philippa', 'thought', 'love', 'wonder', 'psychotherapist', 'winding', 'track', 'grayson', 'marriage', 'perry', 'talking', 'supposed']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F9b4c7692-4127-11eb-a0e7-d2b8bc0d7416.jpg?crop=1084%2C610%2C5%2C483&resize=1180', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F9b4c7692-4127-11eb-a0e7-d2b8bc0d7416.jpg?crop=1084%2C610%2C5%2C483&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F9b4c7692-4127-11eb-a0e7-d2b8bc0d7416.jpg?crop=1084%2C610%2C5%2C483&resize=685,1,,,,,['forced marriage']
