link,datetime,title,text,authors,summary,keywords,images,has_top_image,top_image,successfully_scraped,is_valid_url,meta_lang,meta_data,media_links,search_term
https://www.thetimes.co.uk/article/emily-mortimer-on-giving-period-drama-a-modern-twist-in-the-pursuit-of-love-l0j0275d5,,Emily Mortimer on giving period drama a modern twist in The Pursuit of Love,"Spoiler alert: if you google the BBC adaptation of Nancy Mitford’s The Pursuit of Love, you will find phrases from previews such as “a romantic comedy-drama about love and friendship”, “a tale of love and loss and family unity set between the wars” and even “if you miss Downton Abbey, then The Pursuit of Love has your name all over it”. Are these descriptions accurate? Yes, but in an important sense no.

The casual viewer may be taken aback to find Dominic West as the brutal misogynist Lord Alconleigh, aka Uncle Matthew, hunting his children down with bloodhounds or practising with his whips on the lawn at dawn. They may scratch their heads as the Bolter, the unnamed mother of the narrator, Fanny,",['Stephen Armstrong'],"Spoiler alert: if you google the BBC adaptation of Nancy Mitford’s The Pursuit of Love, you will find phrases from previews such as “a romantic comedy-drama about love and friendship”, “a tale of love and loss and family unity set between the wars” and even “if you miss Downton Abbey, then The Pursuit of Love has your name all over it”.
Are these descriptions accurate?
Yes, but in an important sense no.
The casual viewer may be taken aback to find Dominic West as the brutal misogynist Lord Alconleigh, aka Uncle Matthew, hunting his children down with bloodhounds or practising with his whips on the lawn at dawn.
They may scratch their heads as the Bolter, the unnamed mother of the narrator, Fanny,","['modern', 'emily', 'twist', 'west', 'giving', 'yes', 'love', 'mortimer', 'drama', 'viewer', 'whips', 'wars', 'uncle', 'period', 'pursuit', 'unnamed', 'unity']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F65c43e4e-a1c9-11eb-9808-bf328d2144aa.jpg?crop=2667%2C1500%2C0%2C0&resize=1180', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F65c43e4e-a1c9-11eb-9808-bf328d2144aa.jpg?crop=2667%2C1500%2C0%2C0&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F65c43e4e-a1c9-11eb-9808-bf328d2144aa.jpg?crop=2667%2C1500%2C0%2C0&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/brave-new-world-review-in-every-lull-people-start-dutifully-humping-fqw936rgz,,"Brave New World review — in every lull, people start dutifully humping","Brave New World

(Sky One)

Freddie Flintoff: Living with Bulimia

(BBC One)

Honour

(ITV)

Life

(BBC One)

I ought to be starting this week with the new Spitting Image, but I can’t because I haven’t seen it. Man, that would have been a good bit of writing. I had all this stuff ready to roll out, from a thoughtful examination of whether political satire can still be ubiquitous, to a touching, personal account of the first time we saw my dad — a cabinet minister at the time — on the old Spitting Image and the way, long afterwards, he ended up owning his puppet, and kept it in a cupboard like a spare head, much to the confusion and perhaps terror of his",['Hugo Rifkind'],"Brave New World(Sky One)Freddie Flintoff: Living with Bulimia(BBC One)Honour(ITV)Life(BBC One)I ought to be starting this week with the new Spitting Image, but I can’t because I haven’t seen it.
Man, that would have been a good bit of writing.
I had all this stuff ready to roll out, from a thoughtful examination of whether political satire can still be ubiquitous, to a touching, personal account of the first time we saw my dad — a cabinet minister at the time — on the old Spitting Image and the way, long afterwards, he ended up owning his puppet, and kept it in a cupboard like a spare head, much to the confusion and perhaps terror of his","['world', 'dutifully', 'humping', 'week', 'touching', 'spitting', 'review', 'way', 'brave', 'lull', 'image', 'terror', 'start', 'ubiquitous', 'thoughtful', 'worldsky', 'writing']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F59b4996c-fe60-11ea-8388-5bae8b4ec9a9.png?crop=588%2C588%2C0%2C0', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F6e4948e2-0404-11eb-bce8-b17824147865.jpg?crop=2468%2C1388%2C21%2C222&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F6e4948e2-0404-11eb-bce8-b17824147865.jpg?crop=2468%2C1388%2C21%2C222&resize=685,1,,,,,['honor killing']
https://www.thetimes.co.uk/article/london-oratory-school-is-latest-to-be-accused-of-having-rape-culture-dg3vqgtzz,,London Oratory School is accused of fostering ‘rape culture’,"The headteacher wrote to parents reminding them of the virtues of “chastity” and the “sacrament of marriage”

The London Oratory has become the latest leading school to face accusations of fostering a rape culture among its pupils.

An Instagram account has been set up to share the testimonies of girls who join the Roman Catholic school in the sixth form, which include claims of rape and sexual assault.

Sponsored

The headteacher of the school in Fulham, west London, has been accused of failing to address the matter properly after responding to pupils and parents reminding them of the virtues of “chastity” and the “sacrament of marriage”.

Despite being a state school the London Oratory has a low uptake of children from deprived homes. It counts the actor Simon Callow and the children of Tony Blair and Nick Clegg among its alumni.

One of",['Ben Ellery'],"The headteacher wrote to parents reminding them of the virtues of “chastity” and the “sacrament of marriage”The London Oratory has become the latest leading school to face accusations of fostering a rape culture among its pupils.
An Instagram account has been set up to share the testimonies of girls who join the Roman Catholic school in the sixth form, which include claims of rape and sexual assault.
SponsoredThe headteacher of the school in Fulham, west London, has been accused of failing to address the matter properly after responding to pupils and parents reminding them of the virtues of “chastity” and the “sacrament of marriage”.
Despite being a state school the London Oratory has a low uptake of children from deprived homes.
It counts the actor Simon Callow and the children of Tony Blair and Nick Clegg among its alumni.","['rape', 'london', 'school', 'children', 'virtues', 'parents', 'accused', 'reminding', 'fostering', 'headteacher', 'oratory', 'culture', 'sacrament']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fcc0bb750-8bca-11eb-8f69-0367b6f4fca7.jpg?crop=3884%2C2185%2C29%2C222&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fcc0bb750-8bca-11eb-8f69-0367b6f4fca7.jpg?crop=3884%2C2185%2C29%2C222&resize=1180', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fcc0bb750-8bca-11eb-8f69-0367b6f4fca7.jpg?crop=3884%2C2185%2C29%2C222&resize=685,1,,,,,"['rape', 'child abuse']"
https://www.thetimes.co.uk/article/secret-police-reports-show-nadia-comaneci-was-starved-by-her-coach-bela-karolyi-f003qlt98,,Secret police reports ‘show Nadia Comaneci was starved by her coach Bela Karolyi’,"Nadia Comaneci was the first gymnast to score full marks at the Olympics but her success came at a high price, a Romanian researcher has claimed

In 1968 the Romanian gymnastics coach Bela Karolyi saw a six-year-old girl executing immaculately graceful cartwheels during her break at a small rural school.

Afterwards he went from classroom to classroom until he found her, and signed her up for his training facility. Eight years later the girl, Nadia Comaneci, became the first gymnast to score full marks at the Olympic Games, an achievement once thought to be unattainable.

Sponsored

Yet the relentless pursuit of perfection that drove Comaneci to the top of her sport allegedly had a darker side: a historian has claimed that she and the other young pupils in Karolyi’s charge were frequently starved, beaten and psychologically abused. Stejarel Olaru, 48, discovered a large cache of reports on Karolyi’s coaching operation in the",['Oliver Moody'],"Nadia Comaneci was the first gymnast to score full marks at the Olympics but her success came at a high price, a Romanian researcher has claimedIn 1968 the Romanian gymnastics coach Bela Karolyi saw a six-year-old girl executing immaculately graceful cartwheels during her break at a small rural school.
Afterwards he went from classroom to classroom until he found her, and signed her up for his training facility.
Eight years later the girl, Nadia Comaneci, became the first gymnast to score full marks at the Olympic Games, an achievement once thought to be unattainable.
SponsoredYet the relentless pursuit of perfection that drove Comaneci to the top of her sport allegedly had a darker side: a historian has claimed that she and the other young pupils in Karolyi’s charge were frequently starved, beaten and psychologically abused.
Stejarel Olaru, 48, discovered a large cache of reports on Karolyi’s coaching operation in the","['classroom', 'score', 'nadia', 'secret', 'young', 'starved', 'reports', 'karolyi', 'girl', 'karolyis', 'bela', 'gymnast', 'comaneci', 'romanian', 'marks', 'coach']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbf247046-a9ba-11eb-9b76-9500a3917e5f.jpg?crop=3381%2C1902%2C0%2C176&resize=1180', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbf247046-a9ba-11eb-9b76-9500a3917e5f.jpg?crop=3381%2C1902%2C0%2C176&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbf247046-a9ba-11eb-9b76-9500a3917e5f.jpg?crop=3381%2C1902%2C0%2C176&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/the-online-harms-bill-misses-the-point-8ndp305c5,,The online harms bill misses the point,"The coronavirus pandemic has highlighted our almost complete reliance on the Internet, whether keeping business wheels turning, educating our children or contacting friends and family.

But the darker side of this digital dependency has been an exponential increase in illegal and legal online harms — from child abuse material to anti-vax disinformation and hate speech.

Sponsored

Before the pandemic, the UK launched an online harms white paper in 2019 that raised hopes of a safer digital future. Almost two years on, the government’s much anticipated proposals have finally been published; heavy with soundbites but short on detail, they will disappoint many.

Though impossible to please everyone, the shock-and-awe penalties in the paper — including swingeing fines and last chance saloon threats to target senior management —","['Michael Drury', 'Julian Hayes']","The coronavirus pandemic has highlighted our almost complete reliance on the Internet, whether keeping business wheels turning, educating our children or contacting friends and family.
But the darker side of this digital dependency has been an exponential increase in illegal and legal online harms — from child abuse material to anti-vax disinformation and hate speech.
SponsoredBefore the pandemic, the UK launched an online harms white paper in 2019 that raised hopes of a safer digital future.
Almost two years on, the government’s much anticipated proposals have finally been published; heavy with soundbites but short on detail, they will disappoint many.
Though impossible to please everyone, the shock-and-awe penalties in the paper — including swingeing fines and last chance saloon threats to target senior management —","['pandemic', 'digital', 'wheels', 'bill', 'misses', 'turning', 'point', 'online', 'white', 'harms', 'threats', 'paper', 'uk']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fe3065c44-5b41-11eb-86f4-4fa0aa4e7fd3.png?crop=300%2C300%2C0%2C0', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fdd3268a8-5b41-11eb-86f4-4fa0aa4e7fd3.jpg?crop=1500%2C844%2C0%2C0&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fdd3268a8-5b41-11eb-86f4-4fa0aa4e7fd3.jpg?crop=1500%2C844%2C0%2C0&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/young-lives-have-shrunk-to-the-size-of-a-screen-0wfxp23tp,,Young lives have shrunk to the size of a screen,"Two weeks into home-schooling my teenage daughter, we have fallen back into a routine first established last spring. Every day begins with me shouting at her to get out of bed and turn on her laptop for school work. Every day ends with me shouting at her to put her phone down. In between, she spends at least 16 hours hooked up to the internet and staring into a device.

Once we worried about what children got up to online. Anxious parents shared tips for limiting screen time. Articles were written about the damage too much exposure to blue light could inflict upon children’s eyes. There was concern that the growth of online gaming was making youngsters more sedentary. Most of all, we worried about",['Joanna Williams'],"Two weeks into home-schooling my teenage daughter, we have fallen back into a routine first established last spring.
Every day begins with me shouting at her to get out of bed and turn on her laptop for school work.
Every day ends with me shouting at her to put her phone down.
In between, she spends at least 16 hours hooked up to the internet and staring into a device.
Articles were written about the damage too much exposure to blue light could inflict upon children’s eyes.","['day', 'lives', 'young', 'size', 'work', 'online', 'worried', 'screen', 'weeks', 'shrunk', 'shouting', 'youngsters', 'tips', 'turn', 'written']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff48fbaa8-55b7-11eb-b0d0-071d11d2d557.jpg?crop=1234%2C694%2C129%2C113&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F0a750a12-55b8-11eb-b0d0-071d11d2d557.png?crop=300%2C300%2C0%2C0', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff48fbaa8-55b7-11eb-b0d0-071d11d2d557.jpg?crop=1234%2C694%2C129%2C113&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/bishop-of-beverley-faces-ban-for-telling-abuse-victim-to-move-on-5cvwndvcp,,Bishop of Beverley faces ban for telling abuse victim to ‘move on’,"The Bishop of Beverley was criticised for allegedly failing to investigate claims against one of the Church of England’s most prolific paedophiles

A Church of England bishop could face a life ban from office after being accused of telling the victim of a paedophile bishop to “forget it and move on”.

The Bishop of Beverley, the Right Rev Glyn Webster, 69, has been criticised in a report for allegedly failing to investigate reports that the late Victor Whitsey, a former Bishop of Chester, had repeatedly sexually abused a boy in the 1970s, starting when he was 14.

Sponsored

An independent review commissioned by the church found today that Whitsey, who died in 1987, was a prolific paedophile who groomed and abused a “large number” of children and young people over 15 years.

It published details of “appalling” assaults against at least 18 victims, making him one of the","['Kaya Burgess', 'Religious Affairs Correspondent']","The Bishop of Beverley was criticised for allegedly failing to investigate claims against one of the Church of England’s most prolific paedophilesA Church of England bishop could face a life ban from office after being accused of telling the victim of a paedophile bishop to “forget it and move on”.
The Bishop of Beverley, the Right Rev Glyn Webster, 69, has been criticised in a report for allegedly failing to investigate reports that the late Victor Whitsey, a former Bishop of Chester, had repeatedly sexually abused a boy in the 1970s, starting when he was 14.
SponsoredAn independent review commissioned by the church found today that Whitsey, who died in 1987, was a prolific paedophile who groomed and abused a “large number” of children and young people over 15 years.
It published details of “appalling” assaults against at least 18 victims, making him one of the","['ban', 'prolific', 'beverley', 'allegedly', 'bishop', 'investigate', 'abuse', 'failing', 'victim', 'faces', 'church', 'paedophile', 'whitsey', 'criticised', 'telling']","{'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F82819aca-147c-11eb-bca5-e85774a5f3b9.jpg?crop=3155%2C1775%2C0%2C164&resize=1180', 'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F82819aca-147c-11eb-bca5-e85774a5f3b9.jpg?crop=3155%2C1775%2C0%2C164&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F82819aca-147c-11eb-bca5-e85774a5f3b9.jpg?crop=3155%2C1775%2C0%2C164&resize=685,1,,,,,['child abuse']
https://www.thetimes.co.uk/article/boris-johnson-by-tom-bower-review-he-just-wants-to-be-loved-mnf2xk6tq,,"Boris Johnson by Tom Bower, review — he just wants to be loved","Tom Bower’s biography of Boris Johnson opens with exactly the kind of scene you expect. It is August 2019 and our hero has been prime minister for less than a month. To celebrate the birthday of his father, Stanley, he throws a party at Chequers. But the mood is dreadful. Boris’s four children with his estranged wife, Marina Wheeler, are no longer speaking to him and refuse to come. “He’s a shit,” one of the Johnson clan remarks of the new prime minister. “He’s utterly selfish. He’s destroyed the family.” And this is just the first page.

Who is Boris Johnson, really? This book’s subtitle calls him The Gambler, the kind of swashbuckling nickname he might choose for himself. Yet over 500 dense pages",['Dominic Sandbrook'],"Tom Bower’s biography of Boris Johnson opens with exactly the kind of scene you expect.
It is August 2019 and our hero has been prime minister for less than a month.
“He’s a shit,” one of the Johnson clan remarks of the new prime minister.
“He’s utterly selfish.
Who is Boris Johnson, really?","['johnson', 'bower', 'loved', 'wife', 'minister', 'wheeler', 'utterly', 'review', 'kind', 'wants', 'boris', 'hes', 'prime', 'tom']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F341e3764-0d63-11eb-91e1-2b943ee95958.jpg?crop=2250%2C1266%2C0%2C117&resize=1180', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F341e3764-0d63-11eb-91e1-2b943ee95958.jpg?crop=2250%2C1266%2C0%2C117&resize=685', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F341e3764-0d63-11eb-91e1-2b943ee95958.jpg?crop=2250%2C1266%2C0%2C117&resize=685,1,,,,,['forced marriage']
https://www.thetimes.co.uk/article/tom-hayes-interview-i-challenge-anyone-not-to-be-scared-in-prison-mvqn2dq25,,Tom Hayes interview: ‘I challenge anyone not to be scared in prison’,"Tom Hayes the Former UBS trader poses for photographs following his release from prison after serving more than five years over the Libor scandal

Tom Hayes suffered from anxiety dreams in the nights leading up to his release from prison last Friday after serving five and a half years for manipulating Libor.

There is one he remembers vividly, when he dreamt that he was stuck halfway through his cell window. “My torso was out of the window and my legs were still in the room,” he said. “I couldn’t move.”

Sponsored

It is perhaps an appropriate metaphor for the limbo that Hayes, 41, feels he has unjustly endured for the past eight years. Arrested in December 2012, he spent two and a half years on bail before becoming the first person to be convicted by a jury for rigging Libor.

Hayes denied dishonesty during the trial, arguing that the actions","['Ben Martin', 'Senior City Correspondent']","Tom Hayes the Former UBS trader poses for photographs following his release from prison after serving more than five years over the Libor scandalTom Hayes suffered from anxiety dreams in the nights leading up to his release from prison last Friday after serving five and a half years for manipulating Libor.
There is one he remembers vividly, when he dreamt that he was stuck halfway through his cell window.
“My torso was out of the window and my legs were still in the room,” he said.
“I couldn’t move.”SponsoredIt is perhaps an appropriate metaphor for the limbo that Hayes, 41, feels he has unjustly endured for the past eight years.
Hayes denied dishonesty during the trial, arguing that the actions","['half', 'prison', 'window', 'unjustly', 'scared', 'vividly', 'serving', 'hayes', 'trial', 'interview', 'ubs', 'release', 'challenge', 'tom']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa5da7474-64b3-11eb-ab68-123bacbc1c7b.jpg?crop=6095%2C3429%2C312%2C526&resize=1180', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa5da7474-64b3-11eb-ab68-123bacbc1c7b.jpg?crop=6095%2C3429%2C312%2C526&resize=685'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa5da7474-64b3-11eb-ab68-123bacbc1c7b.jpg?crop=6095%2C3429%2C312%2C526&resize=685,1,,,,,['forced marriage']
https://www.thetimes.co.uk/article/prime-minister-accused-of-cover-up-after-sexual-assault-claims-xc36xkkpn,,Australian prime minister Scott Morrison accused of cover-up after sexual assault claims,"Brittany Higgins, who says she was raped at Parliament House, with prime minister Scott Morrison

The Australian prime minister was accused of leading a “don’t ask, don’t tell” culture or being part of a cover-up after four women claimed to have been sexually assaulted by the same ministerial staff member.

The scandal has engulfed the government of Scott Morrison since Brittany Higgins, a former ministerial press officer, alleged last week that she had been raped in parliament at the age of 24 in 2019. Morrison has denied any knowledge of the assault until being told last week.

Sponsored

Since the initial claim, three other women have come forward to report being sexually assaulted by the same ministerial adviser. Police will begin interviewing the alleged victims this week.

The multiple claims and impending investigation provoked opposition claims that Morrison had failed",['Bernard Lagan'],"Brittany Higgins, who says she was raped at Parliament House, with prime minister Scott MorrisonThe Australian prime minister was accused of leading a “don’t ask, don’t tell” culture or being part of a cover-up after four women claimed to have been sexually assaulted by the same ministerial staff member.
The scandal has engulfed the government of Scott Morrison since Brittany Higgins, a former ministerial press officer, alleged last week that she had been raped in parliament at the age of 24 in 2019.
Morrison has denied any knowledge of the assault until being told last week.
SponsoredSince the initial claim, three other women have come forward to report being sexually assaulted by the same ministerial adviser.
The multiple claims and impending investigation provoked opposition claims that Morrison had failed","['parliament', 'coverup', 'higgins', 'minister', 'australian', 'morrison', 'ministerial', 'scott', 'accused', 'claims', 'sexual', 'raped', 'women', 'assault', 'sexually', 'prime']","{'https://www.thetimes.co.uk/d/assets/ipso-f7843bf2cd.png', 'https://www.thetimes.co.uk/d/assets/dual-masthead-bcc5303ae7.png', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff8918b50-74e7-11eb-9d58-b0b1ea096ce7.jpg?crop=561%2C315%2C40%2C5&resize=685', 'https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff8918b50-74e7-11eb-9d58-b0b1ea096ce7.jpg?crop=561%2C315%2C40%2C5&resize=1180', 'https://www.thetimes.co.uk/d/img/logos/times-white-small-f4ad00a748.png'}",True,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Ff8918b50-74e7-11eb-9d58-b0b1ea096ce7.jpg?crop=561%2C315%2C40%2C5&resize=685,1,,,,,['sexual assault']
